created_at,entry_id,field6,field7,field4,field5,field3,field1,field2,latitude,longitude,elevation,status
2019-09-17 20:25:35 IST,223,67.6,23.6,23.13183,0.21928,1.75023,15.3,17.2,,,,
2019-09-17 20:25:51 IST,224,67.3,23.6,24.6217,0.22318,1.57404,15.1,17.6,,,,
2019-09-17 20:26:09 IST,225,67.2,23.6,23.13183,0.22318,1.60251,15.4,18,,,,
2019-09-17 20:26:25 IST,226,65.8,23.5,24.47033,0.2258,1.63133,15.1,17.4,,,,
2019-09-17 20:26:42 IST,227,66,23.5,23.72146,0.2258,1.51814,15,17.1,,,,
2019-09-17 20:26:59 IST,228,66.1,23.4,22.55046,0.22843,1.67524,14.6,17.6,,,,
2019-09-17 20:27:15 IST,229,66,23.4,24.47033,0.2324,1.69005,14.5,18.3,,,,
2019-09-17 20:27:32 IST,230,66.2,23.6,22.40639,0.23373,1.49071,14.5,16.8,,,,
2019-09-17 20:27:48 IST,231,65.6,23.6,22.26284,0.2324,1.51814,14.4,17.3,,,,
2019-09-17 20:28:05 IST,232,64.9,23.5,23.42561,0.22843,1.55993,14,17.5,,,,
2019-09-17 20:28:22 IST,233,64.6,23.6,23.27846,0.2324,1.70496,14.2,16.4,,,,
2019-09-17 20:28:39 IST,234,64.2,23.6,24.01942,0.22975,1.51814,13.9,15.5,,,,
2019-09-17 20:28:55 IST,235,63.9,23.5,22.40639,0.2324,1.70496,14.2,16.1,,,,
2019-09-17 20:29:11 IST,236,64.1,23.4,24.47033,0.23107,1.71996,14.1,16.7,,,,
2019-09-17 20:29:28 IST,237,64,23.4,24.47033,0.2324,1.70496,13.7,16.4,,,,
2019-09-17 20:29:45 IST,238,63.2,23.3,24.47033,0.23373,1.61688,13.8,15.5,,,,
2019-09-17 20:30:01 IST,239,63.3,23.2,23.57327,0.23507,1.57404,14.1,15.8,,,,
2019-09-17 20:30:18 IST,240,63.4,23.2,24.47033,0.2364,1.67524,14.3,16.4,,,,
2019-09-17 20:30:34 IST,241,63.6,23.2,22.55046,0.24179,1.50438,13.8,16.7,,,,
2019-09-17 20:30:51 IST,242,63.8,23.2,22.55046,0.24314,1.49071,13.4,15.6,,,,
2019-09-17 20:31:07 IST,243,63.9,23.1,24.77361,0.23774,1.69005,13.6,15.9,,,,
2019-09-17 20:31:23 IST,244,63.9,23.1,22.55046,0.2445,1.49071,13.4,15.9,,,,
2019-09-17 20:31:40 IST,245,63.4,23,24.3195,0.23909,1.69005,13.2,16.4,,,,
2019-09-17 20:31:56 IST,246,63.3,23,22.40639,0.24723,1.49071,13.4,16.9,,,,
